0	is there a special boot mode to boot into a system with root access ( on galaxy s ) ?	installing android on htc touch 2
0	where does android store the " default application for file type ( open with ) " settings ?	how can i delete avg antivirus on my xperia z1 ?
0	who makes the default " email " client ? and how is it that it accesses folders from hotmail ?	how do i disable the data usage warning and notification in ics ?
1	looking for a custom rom for htc inspire 4g	where can i find stock or custom roms for my android device ?
0	failed to download applications not knowing the reason .	a widget to show tasks that are two days closer to due date
0	file explorer for htc desire x - too many permissions asked for ?	3.2 update causes strange swype problem
0	how can i export a list of currently installed applications to a file ?	can i use an english locale setting on a polish eee pad transformer ?
0	app ratings adjusted for numbers of votes ?	how do i change the spell check language independently from the hardware keyboard layout
0	google play app icon is gone , and cannot be installed	exotic key combos ( e . g . for emacs ) with bluetooth keyboard
0	is there a way to get android market on galaxy s ?	how to use an usb-attached wired ethernet adapter through usb-otg on an android smartphone ?
0	how can i control the second internal clock	calling service intent fails with " not found"
0	in line runner , what does " restoring transactions " mean ?	what can i expect from the " pure google " nexus s 4g ?
0	free apps that works and looks like word , excel and powerpoint on android ?	calendar read aloud feature
1	how to upgrade android from 4.2.2 to 4.4 kitkat in xolo q1010 ?	when will my device get the android 4.4 update ( kitkat ) ?
0	why do i get an error mess . saying i . can not download because there is not enough space when i have over a gig free on my phone ?	samsung galaxy tab , charging technique through usb cable
0	samsung s4 not sending emails when they have an attachment	wrong label color in gmail 2.3.3
0	how to show all the browsing letters in contacts list ( right hand side of the screen ) in samsung galaxy i5500 europa ?	unable to view pictures on the twitter app while using specific wi-fi
0	how can i spoof my mac address on bluestacks ?	activate device administrator via adb
0	what is " creation mode " in the galaxy s 's offical messaging application ?	sms-draft on incoming call
1	can i run android 2.2 on an android 2.1 zte racer ?	when will my phone get the android 2.2 update ( froyo ) ?
0	how can i speed up window animation scale ?	where can i see what the screen dimensions are of an android mobile phone
0	part of touch screen is not working	sgs3 lte ( gt-i9305t ) set preferred network type
0	why does google drive for android say " failed to open the document " ?	global date format to iso 8601
0	location services not working after a few days	change auto-lock timeout by gps ?
