0	ohm 's law intuition	applying a force on a rigid body which is used to create torque
0	what do scientists believe about existence in dimensions ?	what is the roaring in a roaring fire ?
0	questions about mtw 's " thousand " tests of the einstein principle	lenz 's law and bar magnet falling from some height above
1	springs yet again , this time with a picture . infinite displacement , makes no sense	how could this damped oscillator ever go to infinity ? or negative infinity for that matter ?
0	can the time direction of wave function collapse be reversed ?	simulating a proton
0	mass fraction of fuel on a fuel droplet surface	dilaton in background field
0	is the fraction of radioactive isotopes on the near side of the moon higher than on the far side ?	why are electrons in one atom attracted to negative electrons in another atom ?
0	is there any difference between massless dirac fermions and weyl fermions ?	can we break the speed of light
0	what technological advance would allow lep3 to surpass lep2 ?	calculate stainless steel pole necking limit
0	einstein action and the second derivatives	why is a critical quantum system described by a conformal theory in one higher dimension of space ?
0	magnitude of magnetic field at the center of circular wire	when should i take wine out of the fridge - transient heat transfer problem
0	what is opposite of electric field ?	for which systems is the equipartition theorem valid ?
0	do singularities have a " real " as opposed to mathematical or idealized existence ?	what is the electric current $i_{12}$ and voltage $u_{12}$ in following electric circuit ?
0	intensity in rainfall and global warming	what does " tagging " mean in experimental high energy physics ?
0	can computers survive bubble nucleations ?	where does the smell of electrostatic charge come from ?
0	conservation of energy and continuity equation	magnetism-related terminology
1	recommended book for beginners on advanced science topics	book recommendations
1	has nasa confirmed that roger shawyer 's emdrive thruster works ?	nasa 's " impossible " space engine
0	how should i simulate the electric potential field from a wavefunction ?	phase coherence and interference effects in anderson localization
1	prerequsites for zee 's qft	what is the required prerequisite knowledge of qm , for starting qft ?
0	length of the missing part	what is the relationship between string theory and quantum field theory ?
0	does transverse flow always assist in mixed convection ?	quantum locking superconductors on earth 's magnetic field
0	do metals have their distinctive look because of the electron sea which surrounds the metal atoms ?	temporal part of quantum wavefunction
0	how do some substances " get wet " ?	$\mathcal{n}=2$ supersymmetry and $su ( 2 ) $ holonomy
0	liquid crystal shutter with > 90% transmission ?	gravitational field from irregular object
0	what forces are at work causing sand to migrate to the centre of a spinning bucket of water ?	how does enthalpy help us to find the state of equilibrium ?
0	why are not airplanes like golf balls ?	how can we observe lights properties if it travels at the speed of light , or can we ?
0	what is the current status of string theory ( 2013 ) ?	does greater number of lines of force around the magnet imply greater magnetic field strength around it ?
0	polarization of light	current physical applications of elastic fractals
0	there are plans to develop a better definition of a " second " . how does the current definition fall short ?	minimizing the higgs potential equivalent to finding the minimum ?
0	gravitational field strength and horizon in rindler coordinates	how long would it take a projectile accelerating twice as fast as another to catch up ?
0	lep vs . lhc for higgs production ?	the matrix element of a normal-ordered operator
0	what is the potential difference between point x and point y ?	blood fluidics - can you determine the force exerted on a bound red blood cell under shear stress ?
0	spin connection in higher dimension	effective operator in four-fermion interaction
0	how does radiation shielding using absorbing materials work ?	do the particles that were found to break the speed of light really break einstein 's theory of relativity ?
0	the sun can make stuff hotter than itself	boiling pasta resulting in a torus like shape ?
0	exertion from swinging on a playground swing	behaviour of liquid in vaccume
0	"work " when biking up a hill	how did the universe get so big so fast ?
0	question on conformal field theory	why do blades of windturbine propellers as comp . to propellers of ships cover very different areas ?
0	why do spherical waves diminish as 1/$r^2$ ?	rg flow from a uv scale invariant field theory to a gapped phase in the ir
0	difference between primitive unit cell and the associated basis ?	suvat equations in reverse direction
0	frequencies of matter	chsh violation and entanglement of quantum states
0	concrete example of a two-dimensional harmonic oscillator	candidates for holographic qft of 4d einstein gravity
0	what is happening as our universe is expanding ? is entropy increasing or decreasing ?	how is black hole affected by gravity of nearby bodies ?
0	observation of violation of the uncertainty principle ?	is it necessary to consume energy to perform computation ?
1	what are differences between spin ( 3,1 ) , sl ( 2 , c ) , so ( 3,1 ) and su ( 2 ) representations ? which one is correct exact representation for spinor fields ?	what is the relationship between $sl ( 2 , \mathbb{c} ) $ , $su ( 2 ) \times su ( 2 ) $ and $so ( 1,3 ) $ ?
0	sliding force less or equal ?	angular velocity vector in terms of motion of an object
0	do higher frequency em waves travel longer than lower em frequency waves ?	why do some anomalies ( only ) lead to inconsistent quantum field theories
0	does the universe obey the holographic principle due to stokes ' theorem ?	is it possible to focus the sun in such way ?
0	how to increase temperature of small mass using large mass of lesser temperature ?	is there a newton 's third law for the em field ?
0	quantum tunneling is faster than light travel ?	mechanical waves
0	for the gapped phase of kitaev model , where does the first excited state reside in , the zero-flux sector or not ?	which collision energy at lhc is better for hunting 125 gev higgs , 7 tev , 8 tev or 14 tev ?
0	solving one dimensional schrodinger equation with finite difference method	acceleration of 2 bodies tied with a string
0	klein–gordon equation	creation of matter in the big bang
0	force exerted on a cone	lots of little questions about radiation of lc circuits
0	expectation values in quantum mechanics	finding the center of pressure of a body immersed in liquid
0	implications of a phase shift in a 2-ray propagation model	is keshe is technology for real ?
1	question about two masses connected by a spring	two masses attached to a spring
0	fusion : why deuterium and tritium ?	gauge fermions versus gauge bosons
0	"optically performed " fourier transform	what happens to the impinging light if its wavelength is smaller than the absorption band of a semiconductor ?
0	whenever we fill a bottle with cold water and close it , why is it that after a few seconds we notice cold water droplets outside the bottle ?	( why ) would unmaintained water heater use more electrical energy ?
0	question about weightlessness	are the protons and neutrons in the nucleus arranged in any particular way ?
0	what does the optical zoom in telescopes do ?	statistical mechanics with gravity
0	is aging independent of time progression when relativistic effects are taken into account ?	how to distinguish between the spectrum of an atom in motion and the one of a scaled atom ?
0	torque per unit length on infinite rotating charged cylinder	information about newton 's third law
0	covariant derivative with a torsion free metric	how can i simulate a model electronic hole ?
0	probability in moving from state $\lvert1\rangle$ to $\lvert2\rangle $	how to prolong life of liquid nitrogen in hosehold vacuum flask ?
0	not satisfied with " trick " in zeta function regularization	can a non-euclidean space be descripted through an euclidean of higher dimension ? so why use non-euclidean ?
0	condition for closed orbit	meaning of eigenvalues/eigenvectors of a linear system of equations
0	lagrangian for frw metric	what is the electric field generated by a spinning magnet ?
0	in feynman 's " random walker " probability example , why is $d^2$ better for illustrating " wandering " ?	large wavelength limit of gluons
0	is the assumption of space time to be a continuum is just a matter of mathematical taste ?	mixing water at different temperature
1	antimatter in the universe	how would we tell antimatter galaxies apart ?
0	are retrograde capture orbits " easier " than prograde capture orbits ?	how should one interpret the de sitter slicings ?
1	why are magnetic fields only produced by moving charges ?	how do moving charges produce magnetic fields ?
0	solar wind and the earth 's magnetic field	do eyeballs exhibit chromatic aberration ?
0	physics needed to build a top down billiards game	what is the most fundamental peice of matter ? what is it that thing which can no more be sub-divided ?
0	can pressure in bars be equated to flow in litres per second ?	formalizing quantum field theory
0	diffraction through one slit ?	what are the differences between comet versus asteroid versus meteoroid versus meteor versus meteorite ?
1	studying qm without math and physics background	what is a good introductory book on quantum mechanics ?
0	why is a pion so light compared to a neutron or proton ?	what is the purpose of the arbitary additive constants in einstein 's inertia of energy paper ?
0	rotation of bodies about centre of mass	how does general relativity emerge from brans-dicke gravity with an infinite omega parameter ?
0	non-newtonian fluid stop a bullet ?	doppler shift of radio signals to an accelerating observer
0	change of quark flavour ?	what is the core difference between the electric and magnetic forces ?
0	can special/general relativity be derived from the standard model ?	levitation rotation speed involving laser acceleration , pyrolytic graphite and a vacuum
0	how much computer power would we need to model every physical aspect of the universe	is self gravitation theoretically impossible ?
1	how does a black hole slow time ?	how exactly does time slow down near a black hole ?
0	derivation of freely falling frame in schwarzschild spacetime	what is the difference between " in-plane shear modulus " and " shear modulus"
0	representations of pauli matrices involving outer product of qubit states	why can i see the 5d0 to 7f3 transition in the trivalent eu ?
1	is a scaled-up aircraft carrier ' ski-ramp ' a viable system to impart enough velocity to significantly assist a spacecraft to orbit ?	what is the possibility of a railgun assisted orbital launch ?
0	what inspired schrödinger to derive his equation ?	how can doped semiconductor be neutral ?
0	equivalent rotation using baker-campbell-hausdorff relation	what does the lhc do afterwards ?
0	sub and super multiplicativity of norms for understanding non-locality	twin paradox an simultaneity
0	partition function for two level system	two pairs of projection operators of the dirac equation
1	is everyone seeing the same color as i see ?	how can you test what color different people perceive ?
1	what is an effective and efficient way to read research papers ?	how to learn physics effectively and efficiently
0	trouble understanding phase matching equation	what is the intepretation of the electromagnetic tensor ?
0	if angular momentum corresponds to linear momentum , what corresponds to energy ?	how to prove the equivalence of two definitions of the scattering cross section
0	lightcone coordinates	relation involving the lorentz transformation and the inverse of its transpose
1	why there is a 1/2 in kinetic energy formula ?	why is there a $\frac 1 2$ in $\frac 1 2 mv^2$ ?
0	rutherford scattering spectra	how to calculate these integrals about propagator of qft analytically ?
0	what is the direction of the friction force on a rolling ball ?	i can not figure out crystal planes with negative intercepts
0	discrete movement vs wave function collapse	angular momentum - maximum and minimum values for $m_{\ell}$
0	why is current a scalar quantity ?	natural macroscopic amplification of quantum randomness
1	magnetic field of a wire with over 1000 amperes ?	direction of magnetic force from a current running through a coil of wire
0	why are spacecraft made to " spin " after launch ?	how does the atmospheric uvb attenuation of terrestrial planets compare ?
0	are all ( non-macroscopic , non-measurement ) quantum mechanical interactions time-reversible ?	what is the outcome of a changing magnetic field ?
0	is the body 's exposure to an x-ray equal to an airplane trip across the country ?	why mountain roads are winded up rather than keeping them straight ?
0	derivation of euler 's equations for rigid body rotation	direction of compass needle nearby an electric wire
0	what is the cheapest way to land a grain of sand on the moon ?	instructional examples of qft
